county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,voter_turnout,voter_gap,trump,biden
Saline County,Nebraska,3796,26687.28908886389,2,14223,14,0.0005268703760044685,24.3,29.300000000000004,48.90052356020942,2.9,51805,17.1,14.3,31.0,33.0,1.5,309.1,40.29387417218543,28.5,62.9,34.4
Nome Census Area,Alaska,6187,61845.2618952419,5,10003,49,0.0008081460997551947,2.4,85.10000000000001,46.80312088357483,11.7,47160,15.3,14.7,26.1,31.7,0.4,170.3,,,,
Jefferson County,Nebraska,1211,17187.056485949477,1,7045,14,0.0008257637633555934,3.6,5.799999999999985,51.74546454095656,2.7,44947,10.5,13.2,28.0,36.2,11.0,230.7,33.99644760213144,43.1,70.39999999999999,27.3
Pitkin County,Colorado,6676,37575.28001350819,7,17766,39,0.0010485320394168357,9.8,14.299999999999988,47.24178734433988,3.8,73274,5.2,56.4,8.9,14.9,17.7,70.8,12.694663812827514,-52.1,23.200000000000003,75.3
Lake County,Colorado,1843,22677.494770518028,2,8126,24,0.0010851871359095423,33.9,35.70000000000001,45.4752038497527,3.8,46765,7.4,30.3,15.1,17.5,19.4,112.4,29.853936587103668,-20.2,37.9,58.1
Kimball County,Nebraska,769,21172.907488986784,1,3631,27,0.001300389947933687,8.8,11.799999999999992,50.10845986984816,3.6,45771,14.6,15.9,29.2,31.4,1.1,,34.04255319148936,69.1,83.5,14.4
San Juan County,Washington,1450,8247.070867933113,2,17581,11,0.0013793102497027415,6.0,10.999999999999996,51.80938289871154,4.8,54721,4.9,45.2,15.1,20.7,90.7,222.4,4.474074074074074,-51.3,23.200000000000003,74.5
Summit County,Colorado,10087,32527.16777917513,14,31010,45,0.0013879250382876473,14.0,18.09999999999999,45.43435838772626,2.5,68352,5.4,48.1,8.1,13.1,46.0,46.2,20.875420875420875,-39.60000000000001,28.8,68.4
Teton County,Wyoming,10074,42933.85612001364,16,23463,68,0.0015882469566384063,15.0,18.500000000000004,46.913580246913575,3.8,75348,4.3,51.9,10.8,12.7,5.3,104.7,12.071651090342678,-37.500000000000014,29.6,67.10000000000001
Haines Borough,Alaska,616,24347.826086956524,1,2529,39,0.0016233763598415,2.8,21.0,47.851793456838784,9.7,67260,4.3,31.3,17.0,25.5,1.1,181.2,,,,
Frontier County,Nebraska,543,20669.965740388274,1,2626,38,0.0018416202869944223,1.4,3.599999999999998,49.54268292682927,2.5,48543,5.7,16.9,23.3,35.5,5.6,198.8,30.46837276677933,72.19999999999999,85.3,13.1
Summit County,Utah,13832,32820.02610036778,26,42144,61,0.0018796992345308037,11.4,15.2,48.40552717021973,3.3,92560,6.7,50.1,11.1,14.4,10.9,165.7,6.222582666715818,-19.8,39.0,58.8
Mono County,California,3002,20783.71642204375,6,14443,41,0.001998667488385493,27.1,33.9,47.12619149238868,6.1,59181,15.7,33.3,15.8,22.8,4.7,86.0,27.70837820374757,-22.3,37.3,59.6
Eagle County,Colorado,16274,29520.924410905725,35,55126,63,0.0021506697668018326,29.6,32.7,46.84138033726688,3.1,76661,10.1,47.3,9.4,11.8,31.0,47.1,18.13207384154595,-29.6,34.1,63.7
Hartley County,Texas,1364,24461.979913916788,3,5575,53,0.002199413328488759,26.2,40.39999999999999,39.4605737845731,2.1,64182,20.4,21.4,23.0,27.3,72.9,195.7,50.08415484491464,80.5,89.9,9.4
North Slope Borough,Alaska,4075,41446.29780309194,9,9831,91,0.002208588902856714,4.1,68.69999999999999,37.51153018345803,5.6,75682,12.9,13.4,26.5,36.5,0.1,130.5,,,,
